STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Airport
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/1/2013,3.2,0,0,,2.2,-9.4,340,330,7.6,10.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/2/2013,3.2,0,0,,2.2,-11.7,80,80,8.9,10.7,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/3/2013,3.8,0,0,,2.2,-8.9,90,80,11.2,13.9,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/4/2013,2.4,0,0,,1.1,-11.7,360,360,6.7,8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/5/2013,2,0,0,,4.4,-10.6,360,360,4.5,6.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/6/2013,1.3,0,0,,5,-10.6,10,360,6.7,7.6,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/7/2013,2.1,0,0,,9.4,-2.2,10,10,6.7,8.9,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/8/2013,4.8,0,0,,9.4,-3.9,10,10,9.4,10.7,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/9/2013,3.6,0,0,,11.7,-4.4,350,10,7.6,9.4,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/10/2013,2.3,0,0,,6.7,-5.6,190,170,7.6,9.8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/11/2013,6.9,0,0,,5.6,-6.1,280,280,14.8,18.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/12/2013,3,0,0,,0,-10.6,290,290,8.9,10.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/13/2013,1.4,0,0,,-1.1,-13.3,170,160,5.8,6.7,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/14/2013,3.1,0,5,,-2.2,-9.4,80,80,9.4,10.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/15/2013,4.1,0,0,,-3.9,-12.8,330,10,9.4,12.5,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/16/2013,2.2,0,0,,3.9,-11.7,10,360,5.8,6.7,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/17/2013,2,0,0,,8.9,-7.8,360,360,6.3,7.6,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/18/2013,1.3,0,0,,10.6,-4.4,340,340,5.4,5.8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/19/2013,2.7,0,0,,11.7,-6.7,10,20,5.8,6.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/20/2013,2.3,0,0,,11.7,-6.1,350,350,6.3,8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/21/2013,2.9,0,0,,12.2,-6.7,360,360,6.7,8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/22/2013,1.6,0,0,,13.9,-3.9,350,340,6.3,8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/23/2013,1.7,0,0,,14.4,-4.4,20,10,6.3,7.2,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/24/2013,1.9,0,0,,15.6,-3.9,330,330,6.3,7.6,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/25/2013,1.5,0,0,,13.9,3.9,340,330,4.5,5.8,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/26/2013,3,2.8,0,,13.9,5.6,190,180,11.2,14.3,ABQ
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/27/2013,3.7,0,0,,15,3.9,230,240,10.3,12.5,ABQ
